location_id,place_name,category,google_rating,entry_fee
64,Dajipur Wildlife Sanctuary,Natural Landscapes & Wildlife,4.4,50
64,Shri Ambabai Temple,Religious & Spiritual Pilgrimages,4.8,0
65,Della Adventure Park,Adventure & Outdoor Activities,4.3,2000
3,Karla Caves,Cultural & Heritage Sites,4.4,25
3,Imagicaa amusement park,Adventure & Outdoor Activities,4.4,1000
3,Lions Point,Sightseeing & Exploration,4.4,0
3,Ekvira Devi Temple,Religious & Spiritual Pilgrimages,4.7,0
66,Tarkarli Beach,Natural Landscapes & Wildlife,4.6,0
67,Kaas Plateau,Natural Landscapes & Wildlife,4.4,300
67,Vasota Fort Jungle trekking and Camping,Adventure & Outdoor Activities,4.7,1200
67,Lodwick Point,Sightseeing & Exploration,4.4,0
67,Thoseghar Waterfall,Natural Landscapes & Wildlife,4.5,0
67,Ajinkyatara Fort,Cultural & Heritage Sites,4.5,0
67,Uttar Chidambaram Nataraj mandir,Religious & Spiritual Pilgrimages,4.6,0
67,Sajjangad Fort,Cultural & Heritage Sites,4.6,10
67,Pratapgad Fort,Cultural & Heritage Sites,4.5,0
68,Echo Point,Sightseeing & Exploration,4.4,0
68,Dodhani Waterfalls,Natural Landscapes & Wildlife,4.6,0
68,Dodhani Waterfalls rappelling/trek,Adventure & Outdoor Activities,4.6,1100
68,Chanderi Caves trek,Adventure & Outdoor Activities,4.5,500
68,Irshalgad Fort,Cultural & Heritage Sites,4.6,100
68,Neral-Matheran Toy Train,Sightseeing & Exploration,4.5,100
68,Kalavantin Pinnacle fortress and trek,Adventure & Outdoor Activities,4.7,50
68,Ambarnath Shiv Temple,Religious & Spiritual Pilgrimages,4.2,0
54,Ellora Caves,Cultural & Heritage Sites,4.7,30
69,Khajuraho Group of Monuments,Cultural & Heritage Sites,4.7,40
69,Kamasutra temples,Cultural & Heritage Sites,5.0,40
69,Raneh waterfall,Natural Landscapes & Wildlife,4.5,0
69,Panna Tiger Reserve,Natural Landscapes & Wildlife,4.2,1000
70,Sanchi Stupa,Religious & Spiritual Pilgrimages,4.7,30
70,Bhimbetka rock shelters,Cultural & Heritage Sites,4.6,25
70,Bhojeshwar Mahadev temple,Religious & Spiritual Pilgrimages,4.7,0
70,Van Vihar National park,Natural Landscapes & Wildlife,4.3,20
70,DB City Mall,Shopping & Markets,4.9,0
70,Tribal museum,"Arts, Science & Literature Attractions",4.7,20
71,Chappan Dukan,Shopping & Markets,4.5,0
71,Sarafa Bazar,Shopping & Markets,4.5,0
71,Pipliyapala Regional Park,"Adventure & Outdoor Activities, Sightseeing & Exploration",4.2,25
71,Khajrana Ganesh Mandir,Religious & Spiritual Pilgrimages,4.8,0
71,TI Mall,Shopping & Markets,4.3,0
71,Phoenix Citadel,Shopping & Markets,4.5,0
71,Rajwada Palace,Cultural & Heritage Sites,4.4,10
72,Gwalior Fort,Cultural & Heritage Sites,4.5,75
72,Jai Vilas Palace,Cultural & Heritage Sites,4.3,150
72,Teli ka Mandir,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.3,0
72,Sas Bahu Temple,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.5,0
72,Gopachal Parvat jain temple,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.6,0
72,National Chambal Ghariyal Wildlife Sanctuary,Natural Landscapes & Wildlife,4.3,1800
72,Pagara Dam,Sightseeing & Exploration,3.9,0
72,Sarafa Bazar,Shopping & Markets,4.0,0
72,Dindayal mall,Shopping & Markets,4.1,0
72,Patankar bazaar,Shopping & Markets,4.0,0
73,Mahakaleshwar Jyotirlinga,"Religious & Spiritual Pilgrimages, Cultural & Heritage Sites",4.8,0
73,Kal Bhairava Temple,Religious & Spiritual Pilgrimages,4.7,0
73,Ram Ghat,Sightseeing & Exploration,4.6,0
73,ISKCON Temple Ujjain,Religious & Spiritual Pilgrimages,4.7,0
73,Kaliadeh Palace,Cultural & Heritage Sites,4.0,15
73,Rumi ka Mazaar,Cultural & Heritage Sites,5.0,0
73,Mahakal Lok,Sightseeing & Exploration,4.8,0
73,Harsiddhi Mata Temple,Religious & Spiritual Pilgrimages,4.7,0
74,Dhuandhar Falls,Natural Landscapes & Wildlife,4.5,0
74,Marble rocks at Bedhaghat,Natural Landscapes & Wildlife,4.5,30
74,Narmada aarti,Religious & Spiritual Pilgrimages,4.5,0
74,Balancing Rock formations,Natural Landscapes & Wildlife,4.3,100
74,Rani Durgavati fort,Natural Landscapes & Wildlife,4.2,0
74,Chausath Yogini temple,Religious & Spiritual Pilgrimages,4.6,0
74,Dumna Nature Reserve Park,Natural Landscapes & Wildlife,4.1,20
74,Madan Mahal Fort,Cultural & Heritage Sites,4.2,0
74,South Avenue malls,Shopping & Markets,4.1,0
74,Sadar bazaar,Shopping & Markets,4.0,0
74,Kanha National Park,Natural Landscapes & Wildlife,4.5,100
75,Mall road,Shopping & Markets,4.7,0
75,Annandale view,Sightseeing & Exploration,3.8,0
75,Chadwick falls,Natural Landscapes & Wildlife,3.6,0
75,Himalayan bird park,Natural Landscapes & Wildlife,3.9,20
75,Naldhera and Shaily peak,Natural Landscapes & Wildlife,4.5,0
75,Kufri Fun World,Adventure & Outdoor Activities,3.8,20
75,Scandal point,Sightseeing & Exploration,4.5,0
75,Kalka-Shimla Toy train,Sightseeing & Exploration,4.5,320
75,Lakkar bazaar,Shopping & Markets,4.0,0
75,Rafting at Tattapani,Adventure & Outdoor Activities,4.1,1050
75,Kuthar Fort,Cultural & Heritage Sites,4.3,10
75,Tara Devi Temple,Religious & Spiritual Pilgrimages,4.8,0
75,Christ Church,Cultural & Heritage Sites,4.6,0
75,Jakhoo hill,Natural Landscapes & Wildlife,4.6,0
76,Solang Valley,Natural Landscapes & Wildlife,4.1,0
76,Hidimba Devi Temple,Religious & Spiritual Pilgrimages,4.6,0
76,Beas kund,Natural Landscapes & Wildlife,4.6,0
76,Vashisht baths,Adventure & Outdoor Activities,4.0,0
76,Rohtang Pass,Adventure & Outdoor Activities,4.5,0
76,Gulaba viewpoint,Sightseeing & Exploration,4.5,0
77,Panch Pulla Waterfall,Natural Landscapes & Wildlife,3.9,0
77,Boat riding in Chamera lake,Adventure & Outdoor Activities,4.4,400
77,Kalatop Wildlife sanctuary,Natural Landscapes & Wildlife,4.6,115
77,Shop at Tibetan Handicrafts market,Shopping & Markets,3.8,0
77,Subhash Baoli spring,Religious & Spiritual Pilgrimages,3.3,0
77,Trek to Dainkund Peak,Adventure & Outdoor Activities,4.8,1200
